,code,decimal_point,name,pre_close,volunit,type,kind,market,type2,py
287,880338,2.0,塑料,1035.9000244140625,100.0,指数板块,板块,1,0,SL
288,880339,2.0,橡胶,787.1699829101562,100.0,指数板块,板块,1,0,XJ
289,880340,2.0,染料涂料,2098.360107421875,100.0,指数板块,板块,1,0,RLTL
290,880344,2.0,建材,1316.4100341796875,100.0,指数板块,板块,1,0,JC
291,880345,2.0,陶瓷,2451.530029296875,100.0,指数板块,板块,1,0,TC
292,880346,2.0,水泥,1334.2900390625,100.0,指数板块,板块,1,0,SN
293,880347,2.0,玻璃,1111.239990234375,100.0,指数板块,板块,1,0,BL
294,880348,2.0,其他建材,1626.68994140625,100.0,指数板块,板块,1,0,QTJC
295,880350,2.0,造纸,1131.260009765625,100.0,指数板块,板块,1,0,ZZ
296,880351,2.0,矿物制品,1092.0999755859375,100.0,指数板块,板块,1,0,KWZP
297,880355,2.0,日用化工,1273.8900146484375,100.0,指数板块,板块,1,0,RYHG
298,880360,2.0,农林牧渔,1623.5400390625,100.0,指数板块,板块,1,0,NLMY
299,880361,2.0,种植业,959.6099853515625,100.0,指数板块,板块,1,0,ZZY
300,880362,2.0,渔业,430.45001220703125,100.0,指数板块,板块,1,0,YY
301,880363,2.0,林业,1009.0,100.0,指数板块,板块,1,0,LY
302,880364,2.0,饲料,2628.820068359375,100.0,指数板块,板块,1,0,SL
303,880366,2.0,农业综合,1764.5400390625,100.0,指数板块,板块,1,0,NYZH
304,880367,2.0,纺织服饰,910.4500122070312,100.0,指数板块,板块,1,0,FZFS
305,880368,2.0,纺织,895.8800048828125,100.0,指数板块,板块,1,0,FZ
306,880369,2.0,服饰,910.8099975585938,100.0,指数板块,板块,1,0,FS
307,880372,2.0,食品饮料,2357.18994140625,100.0,指数板块,板块,1,0,SPYL
308,880373,2.0,乳制品,3708.469970703125,100.0,指数板块,板块,1,0,RZP
309,880374,2.0,软饮料,943.1500244140625,100.0,指数板块,板块,1,0,RYL
310,880375,2.0,食品,2067.550048828125,100.0,指数板块,板块,1,0,SP
311,880380,2.0,酿酒,4164.6298828125,100.0,指数板块,板块,1,0,NJ
312,880381,2.0,白酒,5373.1201171875,100.0,指数板块,板块,1,0,BJ
313,880382,2.0,啤酒,916.9299926757812,100.0,指数板块,板块,1,0,PJ
314,880383,2.0,红黄酒,555.530029296875,100.0,指数板块,板块,1,0,HHJ
315,880387,2.0,家用电器,3537.719970703125,100.0,指数板块,板块,1,0,JYDQ
316,880390,2.0,汽车类,1399.72998046875,100.0,指数板块,板块,1,0,QCL
317,880391,2.0,汽车整车,1457.9100341796875,100.0,指数板块,板块,1,0,QCZC
318,880392,2.0,汽车配件,1488.300048828125,100.0,指数板块,板块,1,0,QCPJ
319,880393,2.0,汽车服务,623.1500244140625,100.0,指数板块,板块,1,0,QCFW
320,880394,2.0,摩托车,650.0700073242188,100.0,指数板块,板块,1,0,MTC
321,880398,2.0,医疗保健,3376.14990234375,100.0,指数板块,板块,1,0,YLBJ
322,880399,2.0,家居用品,2385.81005859375,100.0,指数板块,板块,1,0,JJYP
323,880400,2.0,医药,1983.4100341796875,100.0,指数板块,板块,1,0,YY
